Participant Number,Track ID,Full Text ,Positive,Favourite,Negative,Familiar,Unfamiliar,Musical Expressive Characteristics,Lyrics,Musical Meaning,Bass Line,Beat,Hook ,Instrumentation,Melody,Performer,Production,Rhythm,Riffs-Ornamentation,Song Structure/Composition,Sound ,Style,Tempo ,Vocals,Album,Artist ,Era ,Genre,Version,Other Forms of Media,Film,Music Video ,Musical,Playlist,Television,Memory,Discovery,Emotion,Event/Concert,Personal Event,Vacation,Place ,Time or Stage in Life,Girft/Recommendation ,Rediscovery,Reminisce- Nostalgia,Personal Performance ,People,Being Alone,Family ,Friends,Loss of a person,Romantic relationship,Recommendation from Friend/Family ,Accompaniment,Dancing,Driving ,Exercising ,Partying ,Singing ,Sleeping ,Walking ,Working ,Imagination,Season/time of day/weather,Christmas,Summer,Create Atmosphere,Change Mood,Stress/Frustration/Tension,Calm,Energy,Happiness-good mood,Motivation/focus,Sadness,Match Mood,No relationship,Participating in the study 
338,b,I used to have it on repeat but haven't played it for ages. /I liked another song by Vaults so I saved their album. /I like the lyrics and the production. /No.,,,,I used to have it on repeat but haven't played it for ages.,,,I like the lyrics and the production.,,,,,,,,I like the lyrics and the production.,,,,,,,,I liked another song by Vaults so I saved their album.,I liked another song by Vaults so I saved their album.,,,,,,,,I liked another song by Vaults so I saved their album.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.,
339,a,"Happiness, swing dancing/I saw the show on Broadway in August, and fell in love with the songs, music, and story of love and swing dancing.  It makes me feel happy and want to dance./I enjoy the singers voice, and tune of the music.  I can imagining dancing to it.  The song, story is about the character's determination to succeed./""YesI love swing dancing, and it's swing music.  I saw the show, and the bought the CD.""","/I saw the show on Broadway in August, and fell in love with the songs, music, and story of love and swing dancing.",,,,,,,"/I saw the show on Broadway in August, and fell in love with the songs, music, and story of love and swing dancing. The song, story is about the character's determination to succeed.",,,,,"/I enjoy the singers voice, and tune of the music.","/I enjoy the singers voice, and tune of the music.",,,,,,,,"/I enjoy the singers voice, and tune of the music.",,,,,,,,,,,,,,,"/I saw the show on Broadway in August, and fell in love with the songs, music, and story of love and swing dancing./ ""YesI love swing dancing, and it's swing music.  I saw the show, and the bought the CD.""",,,,"/I saw the show on Broadway in August, and fell in love with the songs, music, and story of love and swing dancing.",,,,,,,,,,,,,"Happiness, swing dancing/  I can imagining dancing to it. ",,,,,,,,,,,,,,,,,"Happiness, swing dancing/It makes me feel happy and want to dance.",,,,,
339,b,"Swing dancing, happiness./I already had two other versions of this song on my iPod.  And love the song, so wanted another version, so I could listen to them all one after one another./It's romantic, makes me forget about life, and just concentrate on the beat of the music./""Yes",,,,,,,,,,"It's romantic, makes me forget about life, and just concentrate on the beat of the music./",,,,,,,,,,,,,,,,,"/I already had two other versions of this song on my iPod.  /  And love the song, so wanted another version, so I could listen to them all one after one another.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swing dancing, happiness",,,,,
340,a,Epic...beautiful...haunting...poetic...evocative/All the reasons above...its glorious/Its one of those great tracks that builds to a climax and doesn't disappoint... great dynamics.../Its like a well appreciated mistress...,All the reasons above...its glorious,,,,,Epic...beautiful...haunting...poetic...evocative/All the reasons above...its glorious/,,,,,,,,,,,,Its one of those great tracks that builds to a climax and doesn't disappoint... great dynamics.../,Its one of those great tracks that builds to a climax and doesn't disappoint... great dynamics.../,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,b,"I've got a video of All That Jazz song on iPod - I think from Broadway production.  I enjoy watching the dance moves in it.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I've got a video of All That Jazz song on iPod - I think from Broadway production. I enjoy watching the dance moves in it.,I've got a video of All That Jazz song on iPod - I think from Broadway production. I enjoy watching the dance moves in it.,,,,,,,,,,,,,,,,,,,,,,,I've got a video of All That Jazz song on iPod - I think from Broadway production. I enjoy watching the dance moves in it.,,,,,,,,,,,,,,,,,,,,,,
341,a,"My Dad. He used to play the guitar and sing the song to me when I was a child./I find it really uplifting and positive due to the memories it evokes, and I also think it's a really nice song./It really relaxes me and gives me space to think./Yes. It's a track from my childhood. My Dad used to play the song when I was a toddler in the bath.","/I find it really uplifting and positive due to the memories it evokes, and I also think it's a really nice song",,,Yes. It's a track from my childhood. My Dad used to play the song when I was a toddler in the bath.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"/I find it really uplifting and positive due to the memories it evokes, and I also think it's a really nice song",,,,,,,My Dad. He used to play the guitar and sing the song to me when I was a child./ Yes. It's a track from my childhood. My Dad used to play the song when I was a toddler in the bath.,,,,,,,My Dad. He used to play the guitar and sing the song to me when I was a child./ Yes. It's a track from my childhood. My Dad used to play the song when I was a toddler in the bath.,,,,,,,,,,,,,,,,,,,,,It really relaxes me and gives me space to think.,,"/I find it really uplifting and positive due to the memories it evokes, and I also think it's a really nice song",,,,,
341,b,"You know the guitar part coming is going to be spine tingling...more emotions in about 2 minutes of playing than an entire season of ...../Aural pleasure...pure and simple...like dripping honey to my ears.../It scales heights few get near...and you know its going to make you reach for the old air guitar.../I dare say we were bedfellows at some juncture...Darkness, stars and flashing lights./It's upbeat, rhythmically fun and melodically simple. It's great to sing and walk along to./I find that I can feel the music throughout my whole body. It makes me want to move and tap and create music of my own. It also allows me a lot of thinking space, to imagine other things and think about ideas/possibilities/scenarios freely./Yes, it's a track I share with my brother. We will sing along to it whenever we are together and it comes on, and I can't help but think of that whenever it comes on.",,,,,,Aural Pleasure,,,,"It's upbeat, rhythmically fun and melodically simple.",,You know the guitar part coming is going to be spine tingling,"It's upbeat, rhythmically fun and melodically simple.",,,"It's upbeat, rhythmically fun and melodically simple.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, it's a track I share with my brother. We will sing along to it whenever we are together and it comes on, and I can't help but think of that whenever it comes on.",,,,,,I find that I can feel the music throughout my whole body. It makes me want to move and tap and create music of my own. ,,,, It's great to sing and walk along to.,, It's great to sing and walk along to.,,"more emotions in about 2 minutes of playing than an entire season of ...../ Aural pleasure...pure and simple...like dripping honey to my ears…/ /It scales heights few get near...and you know its going to make you reach for the old air guitar../ /I dare say we were bedfellows at some juncture...Darkness, stars and flashing lights./  It also allows me a lot of thinking space, to imagine other things and think about ideas/possibilities/scenarios freely.",,,," It also allows me a lot of thinking space, to imagine other things and think about ideas/possibilities/scenarios freely.",,,,,,,,,,
342,a,"Vocals are low for a female voice./The strong beat is great for running./It is repetitive enough that it is easy to understand and remember, and the beat makes you want to move/dance./Yes. The song transports me to the times when I had the most frequent exposure to it (in the gym in my hometown), which means it is positive to me.","/Yes. The song transports me to the times when I had the most frequent exposure to it (in the gym in my hometown), which means it is positive to me.",,,"/Yes. The song transports me to the times when I had the most frequent exposure to it (in the gym in my hometown), which means it is positive to me.",,,,,,"The strong beat is great for running./ /It is repetitive enough that it is easy to understand and remember, and the beat makes you want to move/dance./",,,,,,,,"/It is repetitive enough that it is easy to understand and remember, and the beat makes you want to move/dance./",,,,Vocals are low for a female voice,,,,,,,,,,,,,,,,,,"/Yes. The song transports me to the times when I had the most frequent exposure to it (in the gym in my hometown), which means it is positive to me.",,,,,,,,,,,,,,"/It is repetitive enough that it is easy to understand and remember, and the beat makes you want to move/dance./",,The strong beat is great for running.,,,,,,,,,,,,,,,,,,,,
342,b,Uplifting/empowering/It is empowering./The lyrics are uplifting and the beat is strong./Yes. I have listened to it frequently and carefully enough that it means something to me.,,,,/Yes. I have listened to it frequently and carefully enough that it means something to me.,,Uplifting/empowering/It is empowering,The lyrics are uplifting and the beat is strong.,,,The lyrics are uplifting and the beat is strong.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uplifting/empowering/It is empowering,,,,,
343,a,"Danny Brown's high pitched inflection, which is always a smile-inducing moment.  /Because Atrocity Exhibition, which is the album White Lines is on, is a great and experimental listen - ""White Lines""is no exception. Also, I only ever listen to albums front to back, so no song is deleted from the album until I've made my mind up on the project in its entirety. /Because the instrumentation is amazing, Danny Brown is charismatic and lyrical on the track, and the whole concept of the song takes various detours, which is also awesome. /Music means the world to me, and every song I listen to evokes some type of feeling. White Lines does evokes a few different feelings and moods, depending on what part of the song is playing. ",,,,,,,,"Because the instrumentation is amazing, Danny Brown is charismatic and lyrical on the track, and the whole concept of the song takes various detours, which is also awesome./ /Music means the world to me, and every song I listen to evokes some type of feeling. / White Lines does evokes a few different feelings and moods, depending on what part of the song is playing. ",,,,"Because the instrumentation is amazing, Danny Brown is charismatic and lyrical on the track, and the whole concept of the song takes various detours, which is also awesome.",,"Because the instrumentation is amazing, Danny Brown is charismatic and lyrical on the track, and the whole concept of the song takes various detours, which is also awesome.",,,,"White Lines does evokes a few different feelings and moods, depending on what part of the song is playing. ",,,,"Danny Brown's high pitched inflection, which is always a smile-inducing moment.","Because Atrocity Exhibition, which is the album White Lines is on, is a great and experimental listen - ""White Lines""is no exception.  Also, I only ever listen to albums front to back, so no song is deleted from the album until I've made my mind up on the project in its entirety./ ","Danny Brown's high pitched inflection, which is always a smile-inducing moment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Danny Brown's high pitched inflection, which is always a smile-inducing moment.",,,,,
343,b,"The emotional background vocals and the piano in the intro. It's right up my street./Because after listening to ""The Color in Anything"" it was one of about a handful of tracks I enjoyed listening to. And, it's a pretty as well as low key piece of music. /It's a pretty and emotional track, with a great chord progression as well as a nice instrumental build-up. Good vocals too. /To me it's a great track for darker, colder days. Not at all in a depressing way, but it has a cozy feel to me, despite it not being a super blissful track. ","Because after listening to ""The Color in Anything"" it was one of about a handful of tracks I enjoyed listening to. And, it's a pretty as well as low key piece of music. ",,,,,,,"/To me it's a great track for darker, colder days. Not at all in a depressing way, but it has a cozy feel to me, despite it not being a super blissful track. ",,,,The emotional background vocals and the piano in the intro.,,,,,,"The emotional background vocals and the piano in the intro./ /It's a pretty and emotional track, with a great chord progression as well as a nice instrumental build-up.",,,,The emotional background vocals and the piano in the intro./ Good vocals too.,"Because after listening to ""The Color in Anything"" it was one of about a handful of tracks I enjoyed listening to.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,a,"Its fun and makes me feel more upbeat. Sounds like summer to me, so makes me feel optimistic. I've often thought it would be a good alarm clock song because of the lyrics 'wake up now'./It's part of a Sunday playlist I have made when I am busy in the flat. Its upbeat so motivates me to do household chores/Its lively and makes me move more which gets my heart pumping and in turn gives me energy/Not really, it doesn't evoke memories, I just like it","Not really, it doesn't evoke memories, I just like it",,,,,, I've often thought it would be a good alarm clock song because of the lyrics 'wake up now'.,,,Its fun and makes me feel more upbeat. /  Its upbeat so motivates me to do household chores,,,,,,,,,,,,,,,,,,,,,,It's part of a Sunday playlist I have made when I am busy in the flat.,,,,,,,,,,,,,,,,,,,,,,/Its lively and makes me move more which gets my heart pumping and in turn gives me energy,,,,,,,It's part of a Sunday playlist I have made when I am busy in the flat./  Its upbeat so motivates me to do household chores,,It's part of a Sunday playlist I have made when I am busy in the flat.,,"Sounds like summer to me, so makes me feel optimistic.",,,,,/Its lively and makes me move more which gets my heart pumping and in turn gives me energy,"Sounds like summer to me, so makes me feel optimistic.", Its upbeat so motivates me to do household chores,,,"Not really, it doesn't evoke memories, I just like it",
344,b,"I think it was originally from a movie soundtrack, so reminds me of a film/I shazamed it when I watched the movie because i hadnt heard it before and liked it/I find it dramatic and contemplative. Evokes my imagination, it is quite dreamy /Just from the movie",,,,,,"I find it dramatic and contemplative. Evokes my imagination, it is quite dreamy ",,,,,,,,,,,,,,,,,,,,,,,"I think it was originally from a movie soundtrack, so reminds me of a film/ I shazamed it when I watched the movie because i hadnt heard it before and liked it/Just from the movie",,,,,,I shazamed it when I watched the movie because i hadnt heard it before and liked it/,,,,,,,,,,,,,,,,,,,,,,,,,,,"I find it dramatic and contemplative. Evokes my imagination, it is quite dreamy ",,,,,,,,,,,,,,
345,a,"See the story below under ""Do you have a relationship with this track?""/All the music I own is saved to my iPod./KMD's music makes me feel nostalgic. I was only a toddler when it was coming out, but it was some of the first underground hip-hop that I got into and, because I only rarely listen to KMD these days, it brings me back to that time in my life./I actually prefer the track that follows this one on the album, but for a long time I thought that this title belonged to that track, which caused me confusion when I tried to put it on.",,,,,,,,,,,,,,,,,,,,,,,"I actually prefer the track that follows this one on the album, but for a long time I thought that this title belonged to that track, which caused me confusion when I tried to put it on.","KMD's music makes me feel nostalgic/  was only a toddler when it was coming out, but it was some of the first underground hip-hop that I got into and, because I only rarely listen to KMD these days, it brings me back to that time in my life.",,,,,,,,All the music I own is saved to my iPod.,,,,,,,,,"I was only a toddler when it was coming out, but it was some of the first underground hip-hop that I got into and, because I only rarely listen to KMD these days, it brings me back to that time in my life.",,,KMD's music makes me feel nostalgic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"See the story below under ""Do you have a relationship with this track?""",
345,b,"I can't say that I know this song!/All the music I own is saved to my iPod. I bought a compilation, The Essential Daryl Hall & John Oates, because I like a handful of their hits, so I transferred that whole album to my iPod./I find a lot of Hall & Oates a tad cheesy for my taste, but I really enjoy their more upbeat tracks./I have no particular relationship with this song. In fact I can't really say I remember it.",,,,,I can't say that I know this song!/ /I have no particular relationship with this song. In fact I can't really say I remember it.,,,,,,,,,,,,,,,,,,"/All the music I own is saved to my iPod. I bought a compilation, The Essential Daryl Hall & John Oates, because I like a handful of their hits, so I transferred that whole album to my iPod.","I find a lot of Hall & Oates a tad cheesy for my taste, but I really enjoy their more upbeat tracks.",,,,,,,,"/All the music I own is saved to my iPod. I bought a compilation, The Essential Daryl Hall & John Oates, because I like a handful of their hits, so I transferred that whole album to my iPod.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/I have no particular relationship with this song. In fact I can't really say I remember it.,
346,a,"It's happy and upbeat, with a nice brass solo at the start and good beat 2 and 4 clapping that wants you to join in from the start!/I like this album as it has a lot of my favourite church songs and I enjoy singing along./It has lyrics which are uplifting and it is so catchy so I love joining in! I love the use of brass as well rather than just a normal band with guitars, vocals, keys and drums./Yes - I sing this at church so it has personal meaning to me.",,,,,,It has lyrics which are uplifting and it is so catchy so I love joining in!,It has lyrics which are uplifting and it is so catchy so I love joining in!,/Yes - I sing this at church so it has personal meaning to me.,,"It's happy and upbeat, with a nice brass solo at the start and good beat 2 and 4 clapping that wants you to join in from the start!",,"It's happy and upbeat, with a nice brass solo at the start and good beat 2 and 4 clapping that wants you to join in from the start!/ I love the use of brass as well rather than just a normal band with guitars, vocals, keys and drums.",,,,,,"It's happy and upbeat, with a nice brass solo at the start and good beat 2 and 4 clapping that wants you to join in from the start!",,,,,/I like this album as it has a lot of my favourite church songs and I enjoy singing along.,,,,,,,,,,,,,,,,,/Yes - I sing this at church so it has personal meaning to me.,,,,,,,,,,,,,,,,,,/I like this album as it has a lot of my favourite church songs and I enjoy singing along.,,,,,,,,,It has lyrics which are uplifting and it is so catchy so I love joining in!,,,,"It's happy and upbeat, with a nice brass solo at the start and good beat 2 and 4 clapping that wants you to join in from the start!",,,,,
346,b,I love the gentle acoustic guitar picking and the lyrics start straight away and I know this song very well so immediately I am engaged because I find this song so peaceful and it brings me joy./It is one of my favourite songs at church which I just find calms me and fills me with peace. It is from an album full of my favourite church music./I love being able to sing along and feel at peace and full of joy as the lyrics really speak to me./Yes - I perform it with my siblings and with friends at church so it has lots of meaning for me.,,/It is one of my favourite songs at church which I just find calms me and fills me with peace./  It is from an album full of my favourite church music.,,,,,I love the gentle acoustic guitar picking and the lyrics start straight away and I know this song very well so immediately I am engaged because I find this song so peaceful and it brings me joy.//I love being able to sing along and feel at peace and full of joy as the lyrics really speak to me./,I love the gentle acoustic guitar picking and the lyrics start straight away and I know this song very well so immediately I am engaged because I find this song so peaceful and it brings me joy./ Yes - I perform it with my siblings and with friends at church so it has lots of meaning for me.,,,,I love the gentle acoustic guitar picking and the lyrics start straight away and I know this song very well so immediately I am engaged because I find this song so peaceful and it brings me joy./,,,,,,,,,,, It is from an album full of my favourite church music.,,,,,,,,,,,,,,,,,/It is one of my favourite songs at church which I just find calms me and fills me with peace./ Yes - I perform it with my siblings and with friends at church so it has lots of meaning for me.,,,,,Yes - I perform it with my siblings and with friends at church so it has lots of meaning for me.,,,,Yes - I perform it with my siblings and with friends at church so it has lots of meaning for me.,,,,,,,,,/I love being able to sing along and feel at peace and full of joy as the lyrics really speak to me./,,,,,,,,,,,I love the gentle acoustic guitar picking and the lyrics start straight away and I know this song very well so immediately I am engaged because I find this song so peaceful and it brings me joy.//It is one of my favourite songs at church which I just find calms me and fills me with peace./ /I love being able to sing along and feel at peace and full of joy as the lyrics really speak to me./,,I love the gentle acoustic guitar picking and the lyrics start straight away and I know this song very well so immediately I am engaged because I find this song so peaceful and it brings me joy.//I love being able to sing along and feel at peace and full of joy as the lyrics really speak to me./,,,,,
347,a,"Uplifting, feeling confident /Motivates me /It makes me feel confident /No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Uplifting, feeling confident/ /It makes me feel confident",,,,"Uplifting, feeling confident",Motivates me,,,No,
347,b,"Bank holiday at Victorious Festival with my best friend /Reminds me of a wonderful few days over bank holiday, great weather and great friends/It's uplifting and brings back happy memories /Yes, reminds me of bank holiday",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It's uplifting and brings back happy memories,Bank holiday at Victorious Festival with my best friend,,,,,,,,,,,,"Bank holiday at Victorious Festival with my best friend/ /Reminds me of a wonderful few days over bank holiday, great weather and great friends",,,,,,,,,,,,,,"/Reminds me of a wonderful few days over bank holiday, great weather and great friends",,,,,,,,It's uplifting and brings back happy memories,,,,,
348,a,"Ben Howard's a bit of an embarrassing artist to have on the playlist! But it's a gorgeous song/It's a great song that's nice and slow to relax to/It's been a while since I've heard it and it's a beautiful, slow melody/Yes a little bit, I was listening a lot to this artist a few years ago when a relationship wasn't going so well, and it's the kind of song you listen to when you're feeling a bit lonely ",But it's a gorgeous song/It's a great song that's nice and slow to relax to,,,,,,,,,,,,"It's been a while since I've heard it and it's a beautiful, slow melody/",,,,,,,,"It's a great song that's nice and slow to relax to/ It's been a while since I've heard it and it's a beautiful, slow melody/",,,"Ben Howard's a bit of an embarrassing artist to have on the playlist! / Yes a little bit, I was listening a lot to this artist a few years ago when a relationship wasn't going so well, and it's the kind of song you listen to when you're feeling a bit lonely ",,,,,,,,Ben Howard's a bit of an embarrassing artist to have on the playlist! ,,,,,,,,,,,,,,,,,,,"Yes a little bit, I was listening a lot to this artist a few years ago when a relationship wasn't going so well, and it's the kind of song you listen to when you're feeling a bit lonely ",,,,,,,,It's a great song that's nice and slow to relax to,,,,,,,,,,It's a great song that's nice and slow to relax to,,,,,,,
348,b,"Stunningly beautiful song by my favourite band/It's by my favourite band and it's an incredible song, I couldn't not have it saved/The lyrics are gorgeous, the melody's are incredible, and it creates such a strong emotion of something but you're not exactly sure of what/Yes, I probably have at least some relationship with pretty much every song I have saved. I was listening to this band and this album when I was about 17 and not really enjoying school or my personal life and this band helped me to feel like there was a little more out there. ","Stunningly beautiful song by my favourite band/ /It's by my favourite band and it's an incredible song, I couldn't not have it saved/","Stunningly beautiful song by my favourite band/ /It's by my favourite band and it's an incredible song, I couldn't not have it saved/",,,,,"The lyrics are gorgeous, the melody's are incredible, and it creates such a strong emotion of something but you're not exactly sure of what","The lyrics are gorgeous, the melody's are incredible, and it creates such a strong emotion of something but you're not exactly sure of what/ I was listening to this band and this album when I was about 17 and not really enjoying school or my personal life and this band helped me to feel like there was a little more out there. ",,,,,"The lyrics are gorgeous, the melody's are incredible, and it creates such a strong emotion of something but you're not exactly sure of what",,,,,,,,,,I was listening to this band and this album when I was about 17 and not really enjoying school or my personal life and this band helped me to feel like there was a little more out there. ,Stunningly beautiful song by my favourite band/ I was listening to this band and this album when I was about 17 and not really enjoying school or my personal life and this band helped me to feel like there was a little more out there. ,,,,,,,,"/It's by my favourite band and it's an incredible song, I couldn't not have it saved/",,,,,,,,,I was listening to this band and this album when I was about 17 and not really enjoying school or my personal life and this band helped me to feel like there was a little more out there. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,a,I love the lyrics - a very familiar song./I love the lyrics so I can sit and listen to it or sing along. It's also good a steady rhythm and is quite calming so is good to do housework or study to./It is familiar to me and brings back memories./Yes - I have listened to this song lots so I have memories of doing different things with this music in the background.,,,,I love the lyrics - a very familiar song/ /It is familiar to me and brings back memories./ Yes - I have listened to this song lots so I have memories of doing different things with this music in the background.,,,I love the lyrics - a very familiar song/ I love the lyrics so I can sit and listen to it or sing along.,,,,,,,,,It's also good a steady rhythm and is quite calming so is good to do housework or study to./,,,,,,,,,,,,,,,,,,/It is familiar to me and brings back memories./ Yes - I have listened to this song lots so I have memories of doing different things with this music in the background.,,,,,,,,,,,,,,,,,,,,,,,,I love the lyrics so I can sit and listen to it or sing along.,,,It's also good a steady rhythm and is quite calming so is good to do housework or study to./,,,,,,,,It's also good a steady rhythm and is quite calming so is good to do housework or study to./,,,,,,,
349,b,"This is fun, I haven't listend to this song in ages./It is a song that was in an album which I knew quite well but I didn't really know this song./It's got a really good drum beat and I love the lyrics./No - I have only listened to it a few times and not intentionally, I hear it in the background when I've been listening to this album but I don't massively know it.","This is fun, I haven't listend to this song in ages.",,,,"It is a song that was in an album which I knew quite well but I didn't really know this song/ No - I have only listened to it a few times and not intentionally, I hear it in the background when I've been listening to this album but I don't massively know it.",,It's got a really good drum beat and I love the lyrics.,,,It's got a really good drum beat and I love the lyrics.,,It's got a really good drum beat and I love the lyrics.,,,,,,,,,,,"It is a song that was in an album which I knew quite well but I didn't really know this song/ No - I have only listened to it a few times and not intentionally, I hear it in the background when I've been listening to this album but I don't massively know it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No - I have only listened to it a few times and not intentionally, I hear it in the background when I've been listening to this album but I don't massively know it.",
350,a,"The first time I heard it, when practicing for a band I was singing in for a Christian Union event at Leeds University./The songs lyrics are really important to me as a Christian: 'Find me here at your feet again, everything I am, reaching out I surrender'. Those words are something I try to do daily, and so I have in my playlist to worship God./Important lyrics, catchy tune = enjoyable/Yes - I use it as a way to praise and worship God.","Important lyrics, catchy tune = enjoyable/",,,,,"Important lyrics, catchy tune = enjoyable/","The songs lyrics are really important to me as a Christian: 'Find me here at your feet again, everything I am, reaching out I surrender'. / Important lyrics, catchy tune = enjoyable/","The songs lyrics are really important to me as a Christian: 'Find me here at your feet again, everything I am, reaching out I surrender'. Those words are something I try to do daily, and so I have in my playlist to worship God./ Yes - I use it as a way to praise and worship God.",,,,,"Important lyrics, catchy tune = enjoyable/",,,,,,,,,,,,,,,,,,,"Those words are something I try to do daily, and so I have in my playlist to worship God.",,,"The first time I heard it, when practicing for a band I was singing in for a Christian Union event at Leeds University.",,,"The first time I heard it, when practicing for a band I was singing in for a Christian Union event at Leeds University.",,"The first time I heard it, when practicing for a band I was singing in for a Christian Union event at Leeds University.",,,,,"The first time I heard it, when practicing for a band I was singing in for a Christian Union event at Leeds University.",,,,,,,,"Those words are something I try to do daily, and so I have in my playlist to worship God.",,,,,,,,,,,,,,,,,,,,,,,
350,b,"How true and relevant the lyrics are./It's a worship song I have loved since I first heard Rend Collective live at 'Soul Survivor' a Christian week in summer for teenagers. /I enjoy the melody, it has an folk song feel that is fun./Yes, as a song of worship it helps me to connect and praise God. The song makes me excited to worship God and it's lyrics help remind me of the truth of the Gospel, that God will lead me through any storm.",/It's a worship song I have loved since I first heard Rend Collective live at 'Soul Survivor' a Christian week in summer for teenagers.,,,,,,"How true and relevant the lyrics are./  The song makes me excited to worship God and it's lyrics help remind me of the truth of the Gospel, that God will lead me through any storm.","Yes, as a song of worship it helps me to connect and praise God. /  The song makes me excited to worship God and it's lyrics help remind me of the truth of the Gospel, that God will lead me through any storm.",,,,,"I enjoy the melody, it has an folk song feel that is fun",,,,,,,,,,,/It's a worship song I have loved since I first heard Rend Collective live at 'Soul Survivor' a Christian week in summer for teenagers.,,"I enjoy the melody, it has an folk song feel that is fun",,,,,,,,,/It's a worship song I have loved since I first heard Rend Collective live at 'Soul Survivor' a Christian week in summer for teenagers.,,/It's a worship song I have loved since I first heard Rend Collective live at 'Soul Survivor' a Christian week in summer for teenagers.,/It's a worship song I have loved since I first heard Rend Collective live at 'Soul Survivor' a Christian week in summer for teenagers.,,,,,,,,,,,,,,,,,,,,,,,,,,,/It's a worship song I have loved since I first heard Rend Collective live at 'Soul Survivor' a Christian week in summer for teenagers.,," The song makes me excited to worship God and it's lyrics help remind me of the truth of the Gospel, that God will lead me through any storm.",,,,,,,,,
351,a,Nothing/Don't remember/Seems fine/No,Seems fine,,,,Nothing/Don't remember,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
351,b,Nothing/I was looking for songs that referenced north west london/???/No,,,,,,,,/I was looking for songs that referenced north west london/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/I was looking for songs that referenced north west london/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
352,a,"my hometown in Brazil/I really like the song/I love the artist's voice/Yes, it gives a connection with my past and my culture",I really like the song,,,,,,,"Yes, it gives a connection with my past and my culture",,,,,,,,,,,,,,I love the artist's voice,,I love the artist's voice,,,,,,,,,,,,,,,,my hometown in Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,b,"my friend/it reminds me of a festival I went to/It gives me good memories of my friend/yes, I saw the band live various time with my friend",,,,"yes, I saw the band live various time with my friend",,,,,,,,,,,,,,,,,,,,"yes, I saw the band live various time with my friend",,,,,,,,,,,,,"/it reminds me of a festival I went to/ yes, I saw the band live various time with my friend",,,,,,,,,,,,"my friend/ It gives me good memories of my friend/ yes, I saw the band live various time with my friend",,,,,,,,,,,,,,,,,,,,,,,,,,,
353,a,Summer dancing party happiness/Make me relax/It's catchy and dancing makes you go back yo summer holiday memories/Yes have been listebing it on many holidays like argentina etc,,,,Yes have been listebing it on many holidays like argentina etc,,,,,,,It's catchy and dancing makes you go back yo summer holiday memories,,,,,,,,,,,,,,,,,,,,,,,,,Summer dancing party happiness,,,It's catchy and dancing makes you go back yo summer holiday memories/ Yes have been listebing it on many holidays like argentina etc,Yes have been listebing it on many holidays like argentina etc,,,,,,,,,,,,,,Summer dancing party happiness,,,Summer dancing party happiness,,,,,,,,Summer dancing party happiness,,,,Make me relax,,,,,,,
353,b,Dancing classicold times /I used to dance salsa and latin dances so this was one of the songs we were dancing on/It is very relaxing /My mom was listening to it when she was pregnant with me ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dancing classicold times,,,,,,,My mom was listening to it when she was pregnant with me ,,,,,,,My mom was listening to it when she was pregnant with me ,,,,,,Dancing classicold times/ /I used to dance salsa and latin dances so this was one of the songs we were dancing on,,,,,,,,,,,,,,,It is very relaxing,,,,,,,
354,a,"""Reminds me of a weird period in my life ""/I bought the album but it is not the song i usually listen to/It was not the song I wanted to have but came part of the album/No, not this track but with the artist for other songs",,,,,,,,,,,,,,,,,,,,,,,I bought the album but it is not the song i usually listen to/ /It was not the song I wanted to have but came part of the album,"No, not this track but with the artist for other songs",,,,,,,,,,,,,,,,,Reminds me of a weird period in my life ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, not this track but with the artist for other songs",
